Name,Designer,ID,URL,Free
Sweater with Mesh Panels,Richard Poppleton,937757,https://www.ravelry.com/patterns/library/sweater-with-mesh-panels,False
Sweater med striber,Kirsten Madsen,898111,https://www.ravelry.com/patterns/library/sweater-med-striber,False
sweater V,TillaLudmila ( Ratushnaya Ludmila),940155,https://www.ravelry.com/patterns/library/sweater-v,False
Sweater Ilka,Astrid Tueting,961220,https://www.ravelry.com/patterns/library/sweater-ilka,False
Sweater,Pingouin,962092,https://www.ravelry.com/patterns/library/sweater-191,False
Sweater 6958,Sirdar,967489,https://www.ravelry.com/patterns/library/sweater-6958,False
Sweater,Pingouin Design Studio,954838,https://www.ravelry.com/patterns/library/sweater-173,False
Sweater ANELA,Kristin Joél,958958,https://www.ravelry.com/patterns/library/sweater-anela,False
Sweater with Contrast Yoke,Australian Women's Weekly,966821,https://www.ravelry.com/patterns/library/sweater-with-contrast-yoke,True
Sweater,Patons & Baldwins,974153,https://www.ravelry.com/patterns/library/sweater-181,False
Sweater,Lyric (Pattern Services) Ltd,962808,https://www.ravelry.com/patterns/library/sweater-192,False
Sweater with diamonds,Marshall Cavendish Ltd.,963577,https://www.ravelry.com/patterns/library/sweater-with-diamonds-2,False
Sweater ARGENTA,Kristin Joél,983795,https://www.ravelry.com/patterns/library/sweater-argenta,False
Sweater 35,Lang Yarns,968169,https://www.ravelry.com/patterns/library/sweater-35-2,False
Sweater in Givre & Tricotine (#7) 84.294,Pingouin Design Studio,969625,https://www.ravelry.com/patterns/library/sweater-in-givre--tricotine-7-84294,False
Sweater CASSIS,Kristin Joél,975669,https://www.ravelry.com/patterns/library/sweater-cassis,False
Sweater with Openwork Stripes #16,Filatura Di Crosa,933664,https://www.ravelry.com/patterns/library/sweater-with-openwork-stripes-16,False
Sweater Midgauge Fingering,Andrea Johannhardt,972348,https://www.ravelry.com/patterns/library/sweater-midgauge-fingering,False
Sweater Cassandra,Las Varetas Crochet,973230,https://www.ravelry.com/patterns/library/sweater-cassandra,False
Sweater Weather,Hobby Lobby,973066,https://www.ravelry.com/patterns/library/sweater-weather-5,True
Sweater Poncho Ciara,Berenguela Domecq,978200,https://www.ravelry.com/patterns/library/sweater-poncho-ciara,False
Sweater,Eisaku Noro Design Team 野呂英作企画室,981750,https://www.ravelry.com/patterns/library/sweater-186,False
Sweater Nadia,Berenguela Domecq,980437,https://www.ravelry.com/patterns/library/sweater-nadia,False
Sweater 2115,Scheepjeswol,989751,https://www.ravelry.com/patterns/library/sweater-2115,False
Sweater,Zita Schimming,1005331,https://www.ravelry.com/patterns/library/sweater-194,False
Sweater Mora,Santal Crochet,1009188,https://www.ravelry.com/patterns/library/sweater-mora,False
Sweater Sirena,Nohis,995980,https://www.ravelry.com/patterns/library/sweater-sirena,True
SWEATER a crochet,ahuyama.crochet,992918,https://www.ravelry.com/patterns/library/sweater-a-crochet,True
Sweater with Ridged Peplum,Pat Menchini,963708,https://www.ravelry.com/patterns/library/sweater-with-ridged-peplum,False
Sweater Nube,Valentina Carrasco Yanjarí,999368,https://www.ravelry.com/patterns/library/sweater-nube,False
Sweater Octavian,Heike Wachsmuth,964443,https://www.ravelry.com/patterns/library/sweater-octavian,False
Sweater Felisa,Las Varetas Crochet,1022183,https://www.ravelry.com/patterns/library/sweater-felisa,False
Sweater,Copley,1024066,https://www.ravelry.com/patterns/library/sweater-152,False
Sweater Spydeberg,Aud Bergquist,1005195,https://www.ravelry.com/patterns/library/sweater-spydeberg,False
sweater bølger,Janne Jensen,1001846,https://www.ravelry.com/patterns/library/sweater-blger,False
Sweater Carola,Mi Mediavareta,999435,https://www.ravelry.com/patterns/library/sweater-carola,False
Sweater 6623,Sirdar,1001826,https://www.ravelry.com/patterns/library/sweater-6623,False
Sweater for Timofey,Ksenia Komissarova,1025256,https://www.ravelry.com/patterns/library/sweater-for-timofey,False
Sweater 719,Pingouin Design Studio,1027048,https://www.ravelry.com/patterns/library/sweater-719,False
Sweater Aabenraa,Heike Wachsmuth,971576,https://www.ravelry.com/patterns/library/sweater-aabenraa,False
Sweater Menta,Larita Quientejuna,1015205,https://www.ravelry.com/patterns/library/sweater-menta,False
Sweater Forest,Anastasia Farmanyan,974607,https://www.ravelry.com/patterns/library/sweater-forest,False
Sweater and bolero,Pingouin,1019307,https://www.ravelry.com/patterns/library/sweater-and-bolero,False
Sweater Kalfu,Laura Marcos,1020147,https://www.ravelry.com/patterns/library/sweater-kalfu,False
Sweater Libertador,Veronica Visosky,1041556,https://www.ravelry.com/patterns/library/sweater-libertador,False
Sweater Triana,Pilar Gaete (Taller Celeste),1028302,https://www.ravelry.com/patterns/library/sweater-triana,False
Sweater with Pattern Border - DK,Watmoughs Knitting Studio,1048440,https://www.ravelry.com/patterns/library/sweater-with-pattern-border---dk,False
Sweater Giselle,Mi Mediavareta,1049882,https://www.ravelry.com/patterns/library/sweater-giselle,False
Sweater with V Neck Front,Lyric (Pattern Services) Ltd,1044496,https://www.ravelry.com/patterns/library/sweater-with-v-neck-front,False
Sweater with Raglan Sleeves,Watmoughs Knitting Studio,1045406,https://www.ravelry.com/patterns/library/sweater-with-raglan-sleeves,False
Sweater “Flora”,Olga Koltsova,1053977,https://www.ravelry.com/patterns/library/sweater-flora,False
Sweater in Boule de Coton S.C. 015,Thierry Mugler,1031604,https://www.ravelry.com/patterns/library/sweater-in-boule-de-coton-sc-015,False
Sweater Frigga,Sereia Tricoteira,1056007,https://www.ravelry.com/patterns/library/sweater-frigga,False
Sweater,Sirdar,1049480,https://www.ravelry.com/patterns/library/sweater-199,False
Sweater 14336,Robin Wools,1058653,https://www.ravelry.com/patterns/library/sweater-14336,False
sweater 'Fairy',Tetiana Skobalo,1034221,https://www.ravelry.com/patterns/library/sweater-fairy,False
Sweater Lluvia De Burbujas,Lina Fuquen,1052756,https://www.ravelry.com/patterns/library/sweater-lluvia-de-burbujas,False
Sweater Temps dEstiu,Taller de Ganxet,1035860,https://www.ravelry.com/patterns/library/sweater-temps-destiu,False
Sweater Brotes,Veronica Visosky,1036301,https://www.ravelry.com/patterns/library/sweater-brotes,False
Sweater Luna,Veronica Visosky,1036293,https://www.ravelry.com/patterns/library/sweater-luna,False
Sweater Mewlen,Laura Marcos,1003979,https://www.ravelry.com/patterns/library/sweater-mewlen,False
#296 Maris Sweater,SweaterBabe,1037683,https://www.ravelry.com/patterns/library/296-maris-sweater,False
Sweater with Round Neck Front,Lyric (Pattern Services) Ltd,1044490,https://www.ravelry.com/patterns/library/sweater-with-round-neck-front,False
Sweater with Drop Shoulders,Watmoughs Knitting Studio,1045394,https://www.ravelry.com/patterns/library/sweater-with-drop-shoulders,False
Sweater 6542,Sirdar,1052410,https://www.ravelry.com/patterns/library/sweater-6542,False
Sweater Primera Cita,Las Varetas Crochet,1047795,https://www.ravelry.com/patterns/library/sweater-primera-cita,False
Sweater Arco Iris LG,Leticia García de LG Crochet,1052669,https://www.ravelry.com/patterns/library/sweater-arco-iris-lg,False
Sweater,Richard Poppleton,1052711,https://www.ravelry.com/patterns/library/sweater-200,False
Sweater 6889,Emu Wools Ltd,1044466,https://www.ravelry.com/patterns/library/sweater-6889,False
Sweater with Pattern Border - 4 Ply,Watmoughs Knitting Studio,1048428,https://www.ravelry.com/patterns/library/sweater-with-pattern-border---4-ply,False
Sweater,Nortex Mills Design Studio,1055784,https://www.ravelry.com/patterns/library/sweater-202,False
Sweater 105,Nortex Mills Design Studio,1055798,https://www.ravelry.com/patterns/library/sweater-105-2,False
Sweater Libélula LG,Leticia García de LG Crochet,1054486,https://www.ravelry.com/patterns/library/sweater-libelula-lg,False
Sweater mar azul,Jaryulis Higuera,1016999,https://www.ravelry.com/patterns/library/sweater-mar-azul,False
Sweater Musgo,Nogami la locura,1017356,https://www.ravelry.com/patterns/library/sweater-musgo,False
sweater Dreams,Tetiana Skobalo,1017566,https://www.ravelry.com/patterns/library/sweater-dreams,False
Sweater,Lyric (Pattern Services) Ltd,1058528,https://www.ravelry.com/patterns/library/sweater-203,False
Sweater with Collar,Lyric (Pattern Services) Ltd,1058997,https://www.ravelry.com/patterns/library/sweater-with-collar-5,False
Sweater with Neckband,Lyric (Pattern Services) Ltd,1059018,https://www.ravelry.com/patterns/library/sweater-with-neckband,False
Sweater Esperanza Fácil/ Easy Esperanza Sweater,Roxy para Zurda Crochet,1060194,https://www.ravelry.com/patterns/library/sweater-esperanza-facil--easy-esperanza-sweater,False
10154 Fairisle Sweater,Sirdar,1080003,https://www.ravelry.com/patterns/library/10154-fairisle-sweater,False
Sweater with polo neck and raglan shaping,Sirdar,1082516,https://www.ravelry.com/patterns/library/sweater-with-polo-neck-and-raglan-shaping,False
Sweater with Lacy Cable Pattern in Lilac,Petra Bäck,1084070,https://www.ravelry.com/patterns/library/sweater-with-lacy-cable-pattern-in-lilac,False
Sweater Hojarasca DayL,Paula Premazzi,1030446,https://www.ravelry.com/patterns/library/sweater-hojarasca-dayl,False
Sweater with Flower Yoke,Sabrina/Sandra team designers,1067793,https://www.ravelry.com/patterns/library/sweater-with-flower-yoke,False
Sweater,Lyric (Pattern Services) Ltd,1090664,https://www.ravelry.com/patterns/library/sweater-215,False
Sweater,Lyric (Pattern Services) Ltd,1070419,https://www.ravelry.com/patterns/library/sweater-209,False
Sweater Rice,Musinskya Svetlana,1072224,https://www.ravelry.com/patterns/library/sweater-rice,False
#308 Aubrey Sweater,SweaterBabe,1095879,https://www.ravelry.com/patterns/library/308-aubrey-sweater,False
Sweater Chains,Nadia Seijas,1079269,https://www.ravelry.com/patterns/library/sweater-chains,False
Sweater Celebra,Julia Mackeprang,1040652,https://www.ravelry.com/patterns/library/sweater-celebra,True
Sweater with wavy and ladder cables,Sirdar,1082531,https://www.ravelry.com/patterns/library/sweater-with-wavy-and-ladder-cables,False
"Sweater with bobbles, waves, cable, diamonds",Sirdar,1082538,https://www.ravelry.com/patterns/library/sweater-with-bobbles-waves-cable-diamonds,False
Sweater Quarantine,ViGi Crochet,1041989,https://www.ravelry.com/patterns/library/sweater-quarantine,False
Sweater,Lyric (Pattern Services) Ltd,1042675,https://www.ravelry.com/patterns/library/sweater-197,False
Sweater,Knit Craft Publications Ltd,1043263,https://www.ravelry.com/patterns/library/sweater-198,False
Sweater with Round Yoke,Amanda Laine,1076239,https://www.ravelry.com/patterns/library/sweater-with-round-yoke,False
Sweater,Lyric (Pattern Services) Ltd,1086927,https://www.ravelry.com/patterns/library/sweater-213,False
Sweater 4148,Emu Wools Ltd,1045762,https://www.ravelry.com/patterns/library/sweater-4148,False
Sweater Asa,Andrea Brauneis,1100846,https://www.ravelry.com/patterns/library/sweater-asa,False
