Name,Designer,ID,URL,Free,Photo
Colorblock Cardigan,Cheryl Murray,241152,https://www.ravelry.com/patterns/library/colorblock-cardigan,False,https://images4-a.ravelrycache.com/uploads/prairieknits/71144354/colorblock_cardi_medium2_medium2.jpg
Deco,Kate Davies Designs,241169,https://www.ravelry.com/patterns/library/deco-4,False,https://images4-a.ravelrycache.com/uploads/wazz/351398326/Deco4web_medium2.jpg
Lily / Lilly,Lene Holme Samsøe,241178,https://www.ravelry.com/patterns/library/lily---lilly,True,https://images4-a.ravelrycache.com/uploads/Pusling/76253842/DSC_0159__Large__medium2.JPG
lila[c]loud,Nadia Crétin-Léchenne,244555,https://www.ravelry.com/patterns/library/lilacloud,True,https://images4-a.ravelrycache.com/uploads/ittybitty/62652011/IMG_7500_medium2.JPG
Breezy Cardigan,Hannah Fettig,245435,https://www.ravelry.com/patterns/library/breezy-cardigan,False,https://images4-a.ravelrycache.com/uploads/hannahfettig/99488657/DSC_9392_medium2.jpg
Drifting,Cecily Glowik MacDonald,245651,https://www.ravelry.com/patterns/library/drifting-2,False,https://images4-a.ravelrycache.com/uploads/cecilyam/63232032/3_4_medium2.JPG
Reinette,A H,246839,https://www.ravelry.com/patterns/library/reinette,True,https://images4-a.ravelrycache.com/uploads/BarbThompson/63896522/Puff-Sleeve_Baby_Sweater__13__medium2.JPG
Smaragd,Svetlana Volkova,247023,https://www.ravelry.com/patterns/library/smaragd-2,False,https://images4-a.ravelrycache.com/uploads/tweedysheep/711360254/Smaragd_044_medium2.JPG
Autumn Cardigan,Kelly van Niekerk,247153,https://www.ravelry.com/patterns/library/autumn-cardigan-4,True,https://images4-a.ravelrycache.com/uploads/gurnard/231621099/IMG_2714_medium2.JPG
Sheer Beauty,Sandra McIver,247256,https://www.ravelry.com/patterns/library/sheer-beauty,False,https://images4-a.ravelrycache.com/uploads/sandramciver/64094005/sheer-beauty-768_medium2.jpg
Lavender Cardigan,schneckenstrick,248448,https://www.ravelry.com/patterns/library/lavender-cardigan,True,https://images4-a.ravelrycache.com/uploads/nadja1981/66992424/Lavender_Cardigan_Fotos1_medium2.jpg
Daisy Chain,Amanda Lilley,249519,https://www.ravelry.com/patterns/library/daisy-chain-4,False,https://images4-a.ravelrycache.com/uploads/AmandaLilley/65284857/036_medium2.JPG
Cardigan,Sirdar,249599,https://www.ravelry.com/patterns/library/cardigan-236,False,https://images4-a.ravelrycache.com/uploads/hetty24tigger/218674881/image_medium2.jpg
Sawtelle (Girls),Amanda Keep Williams,251758,https://www.ravelry.com/patterns/library/sawtelle-girls,True,https://images4-a.ravelrycache.com/uploads/AmandaKeep/66459406/sawtelle_lg_medium2.jpg
Leaflet,Cecily Glowik MacDonald,251862,https://www.ravelry.com/patterns/library/leaflet,True,https://images4-a.ravelrycache.com/uploads/cecilyam/66503365/DSC_0610_medium2.JPG
Sakasama Jacket,Olga Buraya-Kefelian,252426,https://www.ravelry.com/patterns/library/sakasama-jacket,False,https://images4-a.ravelrycache.com/uploads/olgajazzy/304232133/ShibuiKnits-FOS-Olgajazzy-Sakasama-4840_medium2.jpg
Baby Bear Hoodie,Linda Cyr,252704,https://www.ravelry.com/patterns/library/baby-bear-hoodie-4,True,https://images4-a.ravelrycache.com/uploads/MaryleeK/66940477/Bear_Tracks_300_medium2.jpg
Cuff to Cuff Sweater,Julie Farmer,253284,https://www.ravelry.com/patterns/library/cuff-to-cuff-sweater-2,True,https://images4-a.ravelrycache.com/uploads/BlueDevilGirl11/206939598/lw2594_0_medium2.jpg
One Piece Baby Jacket.,Jane Terzza,253705,https://www.ravelry.com/patterns/library/one-piece-baby-jacket,False,https://images4-a.ravelrycache.com/uploads/beechvillecat/72973583/August_2011_140_medium2.JPG
Maple,Marie Wallin,254576,https://www.ravelry.com/patterns/library/maple-6,False,https://images4-a.ravelrycache.com/uploads/somebunnyslove/252874640/Maple_web_cov_medium2.jpg
Rhombi,Terri Thomas,255119,https://www.ravelry.com/patterns/library/rhombi,False,https://images4-a.ravelrycache.com/uploads/ninja8tofu/68216455/Libbyswe2_medium2.jpg
Romy,ANKESTRiCK,256214,https://www.ravelry.com/patterns/library/romy-7,False,https://images4-a.ravelrycache.com/uploads/fallmasche/68792756/romy_p11_medium2.jpg
Bailey Cardigan,Amy Christoffers,256518,https://www.ravelry.com/patterns/library/bailey-cardigan,False,https://images4-a.ravelrycache.com/uploads/savoryknitting/68912035/Baily_front_medium2.jpg
Zach Jacket - Worsted,Rachel Evans,256967,https://www.ravelry.com/patterns/library/zach-jacket---worsted,True,https://images4-a.ravelrycache.com/uploads/Rampusen/173531117/010_medium2.JPG
Midnight Shrug,Alice Tang,257443,https://www.ravelry.com/patterns/library/midnight-shrug-3,True,https://images4-a.ravelrycache.com/uploads/Classy76/325094195/image_medium2.jpg
Opposite Pole,Joji Locatelli,260162,https://www.ravelry.com/patterns/library/opposite-pole,False,https://images4-a.ravelrycache.com/uploads/jojilocat/70947007/03_medium2.jpg
Killybegs,Carol Feller,260714,https://www.ravelry.com/patterns/library/killybegs-2,False,https://images4-a.ravelrycache.com/uploads/Littlefellers/71235102/Killybegs_medium2.jpg
Pistache,Marjoline Petit,265009,https://www.ravelry.com/patterns/library/pistache,True,https://images4-a.ravelrycache.com/uploads/bayettesp/73425428/DSCN7801_medium2.JPG
135-2 Coast Living,DROPS design,265390,https://www.ravelry.com/patterns/library/135-2-coast-living,True,https://images4-a.ravelrycache.com/uploads/Drops/73656249/2-2_medium2.jpg
135-20 Lewis,DROPS design,265866,https://www.ravelry.com/patterns/library/135-20-lewis,True,https://images4-a.ravelrycache.com/uploads/Drops/73829688/20-2_medium2.jpg
135-21 Cedric,DROPS design,265867,https://www.ravelry.com/patterns/library/135-21-cedric,True,https://images4-a.ravelrycache.com/uploads/Drops/73830006/21-2_medium2.jpg
Baby Hooded Wrap Cardigan,Audrey Wilson,267551,https://www.ravelry.com/patterns/library/baby-hooded-wrap-cardigan,False,https://images4-a.ravelrycache.com/uploads/design-studio/74618929/BABY_WRAP_ON_WOOD_TWO_medium2.JPG
mon petit bébé,bébé tricote,268174,https://www.ravelry.com/patterns/library/mon-petit-bebe,True,https://images4-a.ravelrycache.com/uploads/bbtricotin/74964519/DSCF0556_medium2.JPG
Tinder,Jared Flood,268548,https://www.ravelry.com/patterns/library/tinder,False,https://images4-a.ravelrycache.com/uploads/brooklyntweed/75130131/Tinder1_medium2.jpg
